time,state,reason,has_wall,obs_front,quality,wall_dist,wall_yaw(rad),front_min,left_min,mem_dist,mem_yaw,mem_age,corner_state,corner_has,corner_dist,odom_x,odom_y,odom_yaw,vis_score_ahead,vx_cmd,vy_cmd,w_cmd,vx_limited,vy_limited,w_limited,soft_gate
1756471917.9921255,HOLD,ALIGN_LOSS→HOLD,0,0,nan,nan,nan,nan,nan,nan,nan,nan,C_IDLE,0,nan,nan,nan,nan,nan,0.08,0.0,0.0,0.08,0.0,0.0,0.04
1756471918.1436846,HOLD,HOLD_KEEP_STRAIGHT,0,0,nan,nan,nan,nan,nan,nan,nan,nan,C_IDLE,0,nan,nan,nan,nan,nan,0.08,0.0,0.0,0.08,0.0,0.0,0.08
1756471918.295036,HOLD,HOLD_KEEP_STRAIGHT,0,0,nan,nan,nan,nan,nan,nan,nan,nan,C_IDLE,0,nan,nan,nan,nan,nan,0.08,0.0,0.0,0.08,0.0,0.0,0.12
1756471918.446438,HOLD,HOLD_KEEP_STRAIGHT,1,0,941.0,1.157553791999817,0.1295255571603775,nan,1.1540000438690186,nan,nan,nan,C_IDLE,0,nan,nan,nan,nan,nan,0.08,0.0,0.0,0.08,0.0,0.0,0.16
1756471918.5490222,ALIGN,HOLD→ALIGN_INIT_REACQ,1,0,943.0,1.157395839691162,0.1291460543870926,nan,1.152999997138977,1.1575038433074951,0.12948882579803467,0.1025245189666748,C_IDLE,0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1756471918.6504939,ALIGN,ALIGNING,1,0,947.2,1.1573231220245361,0.12920379638671875,nan,1.1540000438690186,1.1573231220245361,0.12920379638671875,0.10136747360229492,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.19380569458007812,0.05,0.22,-0.19380569458007812,0.14
1756471918.7515786,ALIGN,ALIGNING,1,0,955.4,1.1570022106170654,0.1296350508928299,nan,1.1540000438690186,1.1571441888809204,0.12937238812446594,0.10097455978393555,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.1940585821866989,0.05,0.22,-0.1940585821866989,0.18000000000000002
1756471918.8527567,ALIGN,ALIGNING,1,0,958.3,1.1567093133926392,0.12966544926166534,nan,1.1540000438690186,1.1570022106170654,0.1296350508928299,0.10106778144836426,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.19445257633924484,0.05,0.22,-0.19445257633924484,0.22000000000000003
1756471918.9541056,ALIGN,ALIGNING,1,0,960.6,1.15623140335083,0.12932255864143372,nan,1.1540000438690186,1.1567093133926392,0.12966544926166534,0.10123801231384277,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.19449817389249802,0.05,0.22,-0.19449817389249802,0.26
1756471919.055118,ALIGN,ALIGNING,1,0,962.3,1.1557769775390625,0.12901274859905243,nan,1.1540000438690186,1.15623140335083,0.12932255864143372,0.1008913516998291,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.19398383796215057,0.05,0.22,-0.19398383796215057,0.3
1756471919.1557724,ALIGN,ALIGNING,1,0,963.6,1.1552722454071045,0.1286322921514511,nan,1.1510000228881836,1.1557769775390625,0.12901274859905243,0.10054540634155273,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.19351912289857864,0.05,0.22,-0.19351912289857864,0.33999999999999997
1756471919.2564375,ALIGN,ALIGNING,1,0,963.6,1.1552722454071045,0.1286322921514511,nan,1.1510000228881836,1.1552722454071045,0.1286322921514511,0.10055971145629883,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.19294843822717667,0.05,0.22,-0.19294843822717667,0.37999999999999995
1756471919.3575075,ALIGN,ALIGNING,1,0,965.1,1.1548832654953003,0.12834949791431427,nan,1.152999997138977,1.1548832654953003,0.12834949791431427,0.10096096992492676,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.1925242468714714,0.05,0.22,-0.1925242468714714,0.41999999999999993
1756471919.4586043,ALIGN,ALIGNING,1,0,966.3,1.1545854806900024,0.1282685399055481,nan,1.1540000438690186,1.1545854806900024,0.1282685399055481,0.10098767280578613,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.19240280985832214,0.05,0.22,-0.19240280985832214,0.4599999999999999
1756471919.5597987,ALIGN,ALIGNING,1,0,966.8,1.1543539762496948,0.12821142375469208,nan,1.1540000438690186,1.1543539762496948,0.12821142375469208,0.1010732650756836,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.19231713563203812,0.05,0.22,-0.19231713563203812,0.4999999999999999
1756471919.6606474,ALIGN,ALIGNING,1,0,967.3,1.154245138168335,0.12817195057868958,nan,1.1540000438690186,1.154245138168335,0.12817195057868958,0.1007387638092041,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.19225792586803436,0.05,0.22,-0.19225792586803436,0.5399999999999999
1756471919.7615645,ALIGN,ALIGNING,1,0,967.8,1.1541444063186646,0.1282743215560913,nan,1.1540000438690186,1.1541444063186646,0.1282743215560913,0.1007852554321289,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.19241148233413696,0.05,0.22,-0.19241148233413696,0.58
1756471919.8629777,ALIGN,ALIGNING,1,0,968.1,1.1540720462799072,0.1283227503299713,nan,1.1540000438690186,1.1540720462799072,0.1283227503299713,0.10130500793457031,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.19248412549495697,0.05,0.22,-0.19248412549495697,0.62
1756471919.9643753,ALIGN,ALIGNING,1,0,968.2,1.1540484428405762,0.1283651441335678,nan,1.1540000438690186,1.1540484428405762,0.1283651441335678,0.10128927230834961,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.19254771620035172,0.05,0.22,-0.19254771620035172,0.66
1756471920.0652747,ALIGN,ALIGNING,1,0,968.4,1.1540166139602661,0.12841874361038208,nan,1.1540000438690186,1.1540166139602661,0.12841874361038208,0.10079026222229004,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.19262811541557312,0.05,0.22,-0.19262811541557312,0.7000000000000001
1756471920.1661854,ALIGN,ALIGNING,1,0,968.9,1.1539528369903564,0.12844955921173096,nan,1.1540000438690186,1.1539528369903564,0.12844955921173096,0.1008002758026123,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.19267433881759644,0.05,0.22,-0.19267433881759644,0.7400000000000001
1756471920.2673836,ALIGN,ALIGNING,1,0,968.9,1.1539515256881714,0.12842696905136108,nan,1.1540000438690186,1.1539515256881714,0.12842696905136108,0.10108804702758789,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.19264045357704163,0.05,0.22,-0.19264045357704163,0.7800000000000001
1756471920.3680267,ALIGN,ALIGNING,1,0,969.1,1.153982400894165,0.12850502133369446,nan,1.1540000438690186,1.153982400894165,0.12850502133369446,0.1005253791809082,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.1927575320005417,0.05,0.22,-0.1927575320005417,0.8200000000000002
1756471920.4687881,ALIGN,ALIGNING,1,0,969.1,1.153975248336792,0.12843653559684753,nan,1.1540000438690186,1.153975248336792,0.12843653559684753,0.10063767433166504,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.1926548033952713,0.05,0.22,-0.1926548033952713,0.8600000000000002
1756471920.569774,ALIGN,ALIGNING,1,0,969.3,1.1540114879608154,0.1284542828798294,nan,1.1540000438690186,1.1540114879608154,0.1284542828798294,0.1008751392364502,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.1926814243197441,0.05,0.22,-0.1926814243197441,0.9000000000000002
1756471920.6712842,ALIGN,ALIGNING,1,0,969.6,1.1540247201919556,0.1284312903881073,nan,1.1540000438690186,1.1540247201919556,0.1284312903881073,0.10140109062194824,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.19264693558216095,0.05,0.22,-0.19264693558216095,0.9400000000000003
1756471920.7721007,ALIGN,ALIGNING,1,0,969.3,1.1540476083755493,0.12832142412662506,nan,1.1540000438690186,1.1540476083755493,0.12832142412662506,0.10070562362670898,C_IDLE,0,nan,nan,nan,nan,nan,0.05,0.25,-0.1924821361899376,0.05,0.22,-0.1924821361899376,0.9800000000000003
